"CellTypeMarkerSet","symbol","loc_id","provenance","requested","repair_note"
"Neural crest","CRABP1","LOC116950845","collaborator 2026-09-25","CRABP1","cellular retinoic acid-binding protein 1-like. Single hit."
"Neural crest","FOXD3","LOC103091779","collaborator 2026-09-25","FOXD3","forkhead box protein D3."
"Neural crest","FOXD3.1","LOC116948927","collaborator 2026-09-25","FOXD3","forkhead box protein D3-A-like. Second FoxD3 entry in the annotation; both are kept because which one is transcribed here is not known."
"Neural crest","B3GAT1","LOC116955171","collaborator 2026-09-25","HNK-1 (CD57)","HNK-1 is a carbohydrate epitope, not a transcript. B3GAT1 is the glucuronyltransferase that builds it. Expression of the enzyme is a proxy for the epitope, and the epitope also needs the sulfotransferase CHST10."
"Neural crest","MSX2","LOC103091760","collaborator 2026-09-25","MSX1; MSX2","homeobox protein MSX-2. The annotation has no MSX1. Lamprey carries a single Msx, so this entry stands for both requests."
"Neural crest","MSX2.1","LOC103091793","collaborator 2026-09-25","MSX1; MSX2","homeobox protein MSX-2, second entry."
"Neural crest","PAX7","PAX7","collaborator 2026-09-25","PAX3; PAX7","paired box 7. The annotation has no PAX3. Lamprey carries a single Pax3/7, so this entry stands for both requests. NOTE: this is also the only gene in the S1 sheet's Spermatogonial stem cells set."
"Neural crest","NGFR","LOC116940989","collaborator 2026-09-25","p75NTR (NGFR/CD271)","TNF receptor superfamily member 16-like."
"Neural crest","NGFR.1","LOC116945086","collaborator 2026-09-25","p75NTR (NGFR/CD271)","TNF receptor superfamily member 16-like, second entry."
"Neural crest","NGFR.2","LOC116956548","collaborator 2026-09-25","p75NTR (NGFR/CD271)","TNF receptor superfamily member 16-like, third entry."
"Neural crest","sox9-a","LOC103091769","collaborator 2026-09-25","SOX9; SOX10","transcription factor Sox-9-A. The annotation has no SOX10. The lamprey SoxE genes are the SOX9/SOX10 counterparts, so all three SoxE entries stand for both requests."
"Neural crest","sox9-b","LOC103091855","collaborator 2026-09-25","SOX9; SOX10","transcription factor Sox-9-B."
"Neural crest","SOX9","LOC116951502","collaborator 2026-09-25","SOX9; SOX10","transcription factor Sox-9-B-like."
"Neural crest","TFAP2B","LOC103091742","collaborator 2026-09-25","TFAP2A (AP-2a)","transcription factor AP-2-beta. The annotation has no TFAP2A. TFAP2D is present and belongs to a different subfamily, so it is not included."
"Neural crest","TFAP2B.1","LOC116942722","collaborator 2026-09-25","TFAP2A (AP-2a)","transcription factor AP-2-beta-like, second entry."
"Neural crest","TFAP2B.2","LOC116946616","collaborator 2026-09-25","TFAP2A (AP-2a)","transcription factor AP-2-beta-like, third entry."
"Neural crest","ZIC1","LOC103091774","collaborator 2026-09-25","ZIC1","zinc finger protein ZIC 1."
"Neural crest","ZIC1.1","LOC116952492","collaborator 2026-09-25","ZIC1","zinc finger protein ZIC 1-like, second entry. ZIC2 and ZIC4 are present and are not included."
